Coord X,Coord Y
24.0,13.5
23.0,23.2
25.6,16.0
10.8,5.9
11.0,2.7
11.9,5.7
14.8,15.0
14.0,18.0
9.0,7.0
12.0,4.6
22.0,23.7
7.0,5.0
14.1,17.0
26.0,18.0
16.3,22.8
11.0,5.0
8.0,7.8
6.4,3.5
11.8,6.0
17.9,12.4
9.5,3.1
11.2,7.0
11.6,6.6
25.6,20.1
8.0,6.7
9.9,7.8
8.0,3.3
9.8,6.8
14.4,20.0
7.4,2.5
9.0,8.0
15.2,14.5
25.2,15.0
23.3,13.0
22.1,12.4
20.0,24.0
11.8,3.8
24.4,22.0
25.4,20.6
25.9,19.0
11.0,7.2
7.1,4.3
14.3,16.0
15.9,13.6
15.5,22.0
7.0,7.3
12.0,5.0
6.0,5.0
24.9,21.4
11.7,6.3
7.2,6.0
6.1,4.2
6.6,6.8
15.1,21.4
11.9,4.2
9.0,3.0
18.6,23.8
17.4,23.4
14.1,19.2
21.0,23.9
7.0,4.6
7.4,6.2
7.4,3.8
10.8,4.2
10.5,2.4
24.4,14.0
19.0,12.1
8.2,2.1
10.4,3.6
9.0,2.0
11.6,3.5
24.0,22.5
8.3,3.1
10.5,7.6
6.2,6.0
7.7,3.5
10.6,6.2
7.1,5.6
20.0,12.0
